,Mobile_name,Processor,Storage,Screen_Length,Camera,Battery,Warranty,Rating & Reviews, Discount
0,"POCO C51 (Royal Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"47,216 Ratings & 2,556 Reviews",35% off
1,"POCO C51 (Power Black, 64 GB)",16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,"47,216 Ratings & 2,556 Reviews",35% off
2,"POCO C50 (Royal Blue, 32 GB)",8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,"50,720 Ratings & 2,482 Reviews",38% off
3,"vivo T2x 5G (Glimmer Black, 128 GB)",5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,"55,643 Ratings & 3,154 Reviews",27% off
4,"vivo T2x 5G (Glimmer Black, 128 GB)",Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,"1,01,936 Ratings & 6,056 Reviews",26% off
5,"vivo T2x 5G (Aurora Gold, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"55,643 Ratings & 3,154 Reviews",27% off
6,"vivo T2x 5G (Marine Blue, 128 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"1,01,936 Ratings & 6,056 Reviews",26% off
7,"vivo T2x 5G (Aurora Gold, 128 GB)",16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,"1,01,936 Ratings & 6,056 Reviews",26% off
8,"Infinix SMART 7 (Azure Blue, 64 GB)",8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,"57,868 Ratings & 2,960 Reviews",30% off
9,"Infinix SMART 7 (Emerald Green, 128 GB)",5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,"57,868 Ratings & 2,960 Reviews",29% off
